,RMS,accuracy,error_L1,error_L2,precision,recall,squared_error
0,0.00636675699607769,0.9411764705882353,0.3074303547163599,0.14572134710566587,1.0,0.6666666666666666,0.021234711002289956
1,0.0071615585037392605,0.9411764705882353,0.22089827458095174,0.09775887010310502,1.0,0.6666666666666666,0.009556796683835762
2,0.00566241474227462,0.9411764705882353,0.2459090024130543,0.11649299955839501,1.0,0.6666666666666666,0.013570618946112221
3,0.006509733174739188,0.9411764705882353,0.3321985861526264,0.13700384283243716,1.0,0.6666666666666666,0.018770052950855147
4,0.005159816304585533,1.0,0.11196041090334036,0.060136859215601655,1.0,1.0,0.0036164418363170935
5,0.005829816482098706,0.8823529411764706,0.4940970293520962,0.20084527153340773,0.75,0.75,0.04033882309732828
6,0.0047226548467374655,0.9411764705882353,0.4356389787408527,0.2033001823757125,1.0,0.6666666666666666,0.041330964153997965
7,0.005831620257870158,0.9411764705882353,0.5363261981854636,0.23402794403046812,1.0,0.6666666666666666,0.05476907858712792
8,0.008009884600995346,0.9411764705882353,0.30226817397025474,0.1327209725160766,0.6666666666666666,1.0,0.01761485654561316
9,0.006268229593095763,1.0,0.2700006868436598,0.1578182406815321,1.0,1.0,0.024906597091813996
10,0.004680136987491772,0.9411764705882353,0.41630336808765905,0.17258796268636772,1.0,0.75,0.029786604864231056
11,0.005446828151084826,0.9411764705882353,0.27324491425466035,0.14791016573279958,1.0,0.6666666666666666,0.02187741712710424
12,0.013433898951837978,0.9411764705882353,0.3498201641275056,0.16114954632631842,0.6666666666666666,1.0,0.025969176281178244
13,0.007324062761944641,1.0,0.14005456633712748,0.0871244624002405,1.0,1.0,0.007590671948530919
14,0.005011597661904533,0.8235294117647058,0.48057858013026894,0.2163356132584877,0.6666666666666666,0.5,0.04680109756392596
15,0.006412712689230844,0.8823529411764706,0.3509180071011541,0.17169727232531726,0.6666666666666666,0.6666666666666666,0.02947995332395416
16,0.004309679461050426,0.8823529411764706,0.3803646616606757,0.15208836598092249,0.6666666666666666,0.6666666666666666,0.02313087106674702
17,0.0044903660912992025,0.8823529411764706,0.21441095190075066,0.09352494593585936,0.6666666666666666,0.6666666666666666,0.008746915512305416
18,0.003688043899187888,0.8823529411764706,0.6045332542880657,0.26857193416095576,1.0,0.5,0.07213088381895677
19,0.004772407962706858,0.8823529411764706,0.2609144932464494,0.12127393611504302,0.6666666666666666,0.6666666666666666,0.014707367580835533
20,0.004297359751380396,0.7647058823529411,0.6966358469041449,0.3096020241773641,0.4,0.6666666666666666,0.09585341337472113
21,0.0037441415689806654,1.0,0.20155496703933087,0.10690604415630799,1.0,1.0,0.011428902277150474
22,0.0037593895289083786,0.8823529411764706,0.44202849534477223,0.18446740405494458,0.75,0.75,0.03402822315877018
23,0.00362581207990218,0.9411764705882353,0.6734076147128467,0.27567596979102016,0.75,1.0,0.07599724032021947
24,0.004141195803330499,0.8823529411764706,0.31851469210789435,0.14307156095251977,0.6666666666666666,0.6666666666666666,0.020469471553390583
25,0.0038211875746085385,0.8235294117647058,0.422855183366248,0.1892065997689638,0.5,0.6666666666666666,0.03579913739613286
26,0.006519924109556957,0.9411764705882353,0.4195718859897867,0.30844379554527024,0.5,1.0,0.09513757501037245
27,0.009230226180579112,1.0,0.3003807032824649,0.2571799972622022,1.0,1.0,0.06614155099178634
28,0.006245255443222356,0.9411764705882353,0.30358770519048295,0.1697032783506607,1.0,0.5,0.028799202682961825
29,0.007631219051252928,0.8235294117647058,0.2690999266008843,0.11287812717934234,0.3333333333333333,0.5,0.012741471595515785
30,0.006273285244952174,0.8823529411764706,0.3006160547907272,0.1487633269720263,0.5,0.5,0.02213052745178601
31,0.0168835288713871,0.9411764705882353,0.5229795322612378,0.45081081047167987,0.5,1.0,0.20323038683813288
32,0.009031813754934925,0.9411764705882353,0.20991345648871662,0.11321180879443477,1.0,0.5,0.012816913650507657
33,0.008267016171379952,1.0,0.2231872424457609,0.14973414474999466,1.0,1.0,0.022420314104012355
34,0.006056407000362434,0.8823529411764706,0.46402270114949273,0.25800134679005937,0.6666666666666666,0.6666666666666666,0.06656469494548449
35,0.005296385798712985,0.7647058823529411,0.9214174592299749,0.4990209644597294,0.42857142857142855,1.0,0.2490219229703185
36,0.004021614691198806,0.8823529411764706,0.9388885475285756,0.5975704884579096,0.3333333333333333,1.0,0.35709048867582466
37,0.004640650958838126,0.8823529411764706,0.323979873476013,0.1562884136464285,0.6,1.0,0.024426068240117144
38,0.009003317466478103,0.8823529411764706,0.2734808713812231,0.13354321333868105,0.6666666666666666,0.6666666666666666,0.017833789828820484
39,0.004097458569013242,0.8235294117647058,1.1147435686565832,0.6019293486674978,0.5,0.6666666666666666,0.36231894078727817
40,0.005936660409426588,0.9411764705882353,0.4615451388840597,0.24408187903463593,0.75,1.0,0.05957596367307865
41,0.008961457337684199,0.7647058823529411,0.6400367383825838,0.3577940814524768,0.3333333333333333,0.3333333333333333,0.1280166047224216
42,0.00519218465807231,0.7647058823529411,0.4574223071773302,0.21091507312800237,0.25,0.5,0.044485168072590585
43,0.007722043145399439,0.8823529411764706,0.5227355915404408,0.281452426758173,0.6666666666666666,0.6666666666666666,0.07921546852806473
44,0.004284749787055912,0.8823529411764706,0.3637136876203746,0.17471541665262794,0.5,1.0,0.03052547681610138
