,RMS,accuracy,error_L1,error_L2,precision,recall,squared_error
0,0.02031708300556681,0.5882352941176471,0.5733383229097128,0.22074001405328866,0.36363636363636365,1.0,0.048726153804246074
1,0.0249315644218815,0.5294117647058824,0.5822461534646631,0.22863563120294442,0.2727272727272727,1.0,0.05227425185556881
2,0.02128968822640808,0.4117647058823529,0.6795764449770344,0.28171116593833057,0.2857142857142857,1.0,0.07936118101433362
3,0.020325851977434466,0.6470588235294118,0.5960339862169644,0.3007711076558572,0.4,1.0,0.09046325920053125
4,0.024564258497960435,0.47058823529411764,0.5777897211682009,0.2432418174700745,0.2727272727272727,0.75,0.05916658176614504
5,0.012570196696258846,0.47058823529411764,0.7273318933832511,0.2878798047081076,0.3076923076923077,1.0,0.08287478195877815
6,0.022449336172708074,0.4117647058823529,0.604165024224359,0.2858176787669544,0.23076923076923078,1.0,0.08169174549572995
7,0.01661429838615065,0.5294117647058824,0.7044430209636825,0.374126605854783,0.3333333333333333,1.0,0.13997071720842016
8,0.0345539694907881,0.5294117647058824,0.47575734868806085,0.20081024940068365,0.3333333333333333,1.0,0.04032475626436476
9,0.03382873129693441,0.5882352941176471,0.5525763689708885,0.2649557546233715,0.3,1.0,0.07020155190804026
10,0.011770514228012067,0.4117647058823529,0.7038357138722872,0.3169875364360252,0.2857142857142857,1.0,0.10048109825578037
11,0.02615844114551396,0.47058823529411764,0.5671692472328624,0.20926909333403212,0.25,1.0,0.04379355342484784
12,0.03930445757045436,0.5294117647058824,0.567937826358165,0.2762121654375966,0.3333333333333333,1.0,0.07629316033572621
13,0.03511042161251395,0.47058823529411764,0.594078817921566,0.31361744049204837,0.25,1.0,0.0983558989807835
14,0.015397171849201051,0.5294117647058824,0.5966365598063205,0.1963565812992759,0.3333333333333333,1.0,0.03855590701953915
15,0.026064513348106375,0.47058823529411764,0.6042213835736432,0.2941353801796888,0.25,1.0,0.08651562187345009
16,0.014264676698710373,0.47058823529411764,0.702088144193271,0.25574309763850256,0.3076923076923077,1.0,0.06540453198973666
17,0.017660790031021372,0.5294117647058824,0.6087255892504801,0.27568697135040965,0.2727272727272727,1.0,0.0760033061723616
18,0.015968143561263318,0.6470588235294118,0.7619563149912374,0.3676688824766395,0.4,1.0,0.13518040714162094
19,0.016993425232732003,0.4117647058823529,0.7752514705440054,0.29241341357882883,0.23076923076923078,1.0,0.08550560444082321
20,0.01051176302577368,0.5294117647058824,0.7479042202002133,0.33474103442911496,0.2727272727272727,1.0,0.11205156013067394
21,0.011201855588318071,0.4117647058823529,0.6719025114889242,0.2352172058540902,0.25,0.75,0.05532713392980544
22,0.010785059143454147,0.5294117647058824,0.7621623739147094,0.342994716322181,0.3333333333333333,1.0,0.11764537542493339
23,0.008820984261442361,0.47058823529411764,0.9076135861196806,0.3657732965128234,0.2727272727272727,0.75,0.13379010444185785
24,0.015347032036416982,0.35294117647058826,0.6060032903177908,0.2628810103120496,0.23076923076923078,0.75,0.06910642558268391
25,0.014033940477025782,0.4117647058823529,0.8262837635506172,0.3372629610648267,0.2857142857142857,1.0,0.11374630490621485
26,0.027622391314552498,0.4117647058823529,0.9089486105246078,0.5165135885742465,0.2857142857142857,1.0,0.26678628718184594
27,0.031302574339207245,0.4117647058823529,0.9245209500760613,0.5306157251232344,0.23076923076923078,1.0,0.28155304774805584
28,0.027859344367474025,0.35294117647058826,0.8611030653491842,0.4775273227343882,0.26666666666666666,1.0,0.22803234395787256
29,0.019568998832582885,0.6470588235294118,0.6601867717062593,0.36725181816239544,0.45454545454545453,1.0,0.13487389794358517
30,0.02243894694058713,0.4117647058823529,0.8023859473080688,0.4328369844238453,0.23076923076923078,1.0,0.18734785508512808
31,0.04059713830224048,0.35294117647058826,1.0303075583768677,0.595045402903799,0.15384615384615385,1.0,0.3540790315169446
